lat,lng,resolved
53.753525,-1.783699,0
51.920616,-0.180441,1
51.564587,-0.105566,1
51.57114,0.189107,1
51.65068,-3.97658,1
52.450974,-2.126559,1
52.139668,-0.467107,1
52.034515,-0.768556,1
51.467766,-0.371412,1
51.479248,-0.021745,1
51.507717,-0.125723,1
54.96784,-1.754552,1
51.117268,-0.166543,1
51.06357,0.163675,1
52.94899,-1.126996,1
51.476555,0.337502,1
52.436832,-1.892443,1
53.458427,-2.735938,1
51.75788,-1.257087,0
53.689278,-1.632026,0
51.552,-0.239066,1
51.517338,-0.200825,1
50.396206,-4.796008,1
52.99062,-1.187729,1
51.658684,-0.394722,0
51.68688,-0.037026,0
51.872578,0.3545,1
51.57589,-3.629683,1
52.340054,-0.069102,1
52.596832,-1.081585,1
53.4213,-1.467451,1
51.491978,-0.231613,0
51.50199,-0.125381,1
51.375217,-0.10769,1
51.375217,-0.10769,1
52.600224,-2.087362,1
51.16864,-1.62193,0
51.296234,1.069332,1
51.736797,-1.237766,0
53.77607,-1.708139,1
51.540318,0.731073,1
51.672268,-3.19816,0
51.946503,-0.278773,1
53.506752,-2.159919,1
50.125526,-5.527979,0
51.48169,-0.623864,0
51.640354,-2.677139,1
51.523045,-2.507205,0
54.57712,-1.350364,1
50.90596,-3.476713,1
53.34336,-1.366737,0
53.778885,-1.544305,1
53.38727,-1.416199,0
53.44655,-2.178934,1
51.69196,-4.943449,0
51.60073,-1.808764,0
51.88738,0.899415,0
51.332794,-1.059258,1
51.888214,0.262613,1
51.36108,-0.217756,1
51.69838,-0.399713,1
50.629684,-1.176189,1
51.57105,0.128623,1
50.847843,-1.77194,1
54.99228,-1.677429,0
51.09203,1.116873,1
53.55091,-2.004942,1
52.48898,-1.907868,1
52.576073,-2.111868,1
52.59045,-2.056979,1
50.80518,-1.074134,1
51.739746,-1.226232,1
53.433403,-2.918523,1
53.476376,-2.250416,1
51.95349,-0.275289,1
50.803898,-1.078247,0
53.480457,-2.095132,1
53.651604,-2.649914,1
50.961967,-0.113607,1
51.12668,-3.011144,1
51.39874,-0.144485,1
51.79916,1.152276,1
51.064095,-0.328104,1
52.62754,1.294877,1
51.810524,-0.025115,1
52.45782,1.562575,1
53.381577,-2.261645,1
51.752266,-0.428871,1
51.41958,-0.421004,1
53.452465,-2.717162,1
52.476463,-1.97082,1
51.421593,-0.023804,1
53.491154,-2.499584,1
51.52129,-0.466972,1
54.990406,-1.534379,1
50.365303,-4.09766,1
51.20981,-2.163203,1
50.830055,-0.208449,1
53.08324,-0.802531,1
51.534027,-0.135845,1
52.596382,1.730006,1
52.99975,-2.059977,1
51.424065,-0.005228,1
51.482155,-0.029987,1
50.476334,-3.551184,1
51.54164,0.001899,1
52.982048,-0.017744,1
52.13685,-0.47169,1
53.37381,-2.753808,1
51.568413,-0.24165,0
53.47949,-2.09299,1
51.520767,-0.226549,1
52.06372,-0.763392,1
51.09492,1.103112,1
52.781017,-1.537713,1
51.562428,-1.788584,1
53.577324,-1.416062,1
51.68306,-0.033271,0
53.820576,-3.052173,1
52.7631,-0.366593,1
53.36863,-1.321576,0
53.36702,-2.279064,1
53.481804,-2.28369,1
51.88994,0.261741,1
51.45111,-0.026056,1
51.392506,-0.305466,1
51.63784,0.353983,1
51.514355,-0.061012,1
53.653835,-1.840629,1
51.53684,0.716314,1
51.59125,-0.010256,1
51.888214,0.262613,1
53.02415,-2.175479,1
51.516155,-0.137339,1
53.567936,-0.058253,1
53.879032,-3.016037,1
